,GOLL4.SA,GOLL4.SA,GOLL4.SA,GOLL4.SA,GOLL4.SA,GOLL4.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,RCSL4.SA,RCSL4.SA,RCSL4.SA,RCSL4.SA,RCSL4.SA,RCSL4.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,VLID3.SA,VLID3.SA,VLID3.SA,VLID3.SA,VLID3.SA,VLID3.SA,CARD3.SA,CARD3.SA,CARD3.SA,CARD3.SA,CARD3.SA,CARD3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,TASA4.SA,TASA4.SA,TASA4.SA,TASA4.SA,TASA4.SA,TASA4.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,SHUL4.SA,SHUL4.SA,SHUL4.SA,SHUL4.SA,SHUL4.SA,SHUL4.SA,TUPY3.SA,TUPY3.SA,TUPY3.SA,TUPY3.SA,TUPY3.SA,TUPY3.SA,ETER3.SA,ETER3.SA,ETER3.SA,ETER3.SA,ETER3.SA,ETER3.SA,PTBL3.SA,PTBL3.SA,PTBL3.SA,PTBL3.SA,PTBL3.SA,PTBL3.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,LOGN3.SA,LOGN3.SA,LOGN3.SA,LOGN3.SA,LOGN3.SA,LOGN3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,POMO4.SA,POMO4.SA,POMO4.SA,POMO4.SA,POMO4.SA,POMO4.SA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,7.489999771118164,7.78000020980835,7.340000152587891,7.75,7.75,2407600.0,14.84000015258789,15.489999771118164,14.84000015258789,15.399999618530273,12.10461711883545,5404300.0,12.259200096130371,12.259200096130371,8.172820091247559,12.259200096130371,12.259200096130371,277.0,2.880000114440918,2.9000000953674316,2.75,2.75,2.0720109939575195,55900.0,43.70909881591797,44.727298736572266,43.5635986328125,44.727298736572266,37.87866973876953,275550.0,3.059999942779541,3.1500000953674316,3.009999990463257,3.1500000953674316,2.4700958728790283,18800.0,14.615400314331055,14.876899719238281,14.615400314331055,14.776900291442871,13.28191089630127,1158300.0,1.7000000476837158,1.7000000476837158,1.6399999856948853,1.6399999856948853,1.6399999856948853,16800.0,12.3100004196167,12.3100004196167,11.390000343322754,11.479999542236328,9.730319023132324,139500.0,2.7928600311279297,2.857140064239502,2.785710096359253,2.8499999046325684,2.2524216175079346,18060.0,16.3700008392334,16.399999618530273,16.100000381469727,16.100000381469727,12.332870483398438,98000.0,16.927200317382812,17.04680061340332,16.867399215698242,17.04680061340332,16.882492065429688,18674.0,3.140000104904175,3.140000104904175,3.0899999141693115,3.109999895095825,2.698007345199585,195500.0,3.13988995552063,3.26665997505188,3.13988995552063,3.188649892807007,2.9981656074523926,1832897.0,14.041299819946289,14.826199531555176,14.041299819946289,14.651800155639648,14.651800155639648,24193.0,23.479999542236328,23.950000762939453,23.3799991607666,23.950000762939453,23.178693771362305,1399000.0,26.209999084472656,26.440000534057617,25.8700008392334,26.440000534057617,25.681480407714844,14900.0,2.3814098834991455,2.431030035018921,2.3516499996185303,2.371490001678467,2.063957452774048,4443612.0
2015-06-29,7.630000114440918,7.650000095367432,7.329999923706055,7.349999904632568,7.349999904632568,1567800.0,15.170000076293945,15.1899995803833,14.899999618530273,15.140000343322754,11.900252342224121,4025700.0,12.259200096130371,12.259200096130371,8.172820091247559,12.259200096130371,12.259200096130371,1238.0,2.759999990463257,2.930000066757202,2.7200000286102295,2.869999885559082,2.162425994873047,29800.0,44.12730026245117,44.70000076293945,43.20000076293945,43.390899658203125,36.74690246582031,230670.0,3.0299999713897705,3.0299999713897705,2.9800000190734863,2.990000009536743,2.344630718231201,31700.0,14.769200325012207,14.846199989318848,14.446200370788574,14.584600448608398,13.109068870544434,999830.0,1.6699999570846558,1.7000000476837158,1.659999966621399,1.7000000476837158,1.7000000476837158,8400.0,11.420000076293945,11.460000038146973,11.180000305175781,11.34000015258789,9.611656188964844,42600.0,2.785710096359253,2.8285698890686035,2.714279890060425,2.714279890060425,2.1451587677001953,89040.0,16.1200008392334,16.1299991607666,15.920000076293945,16.100000381469727,12.332870483398438,123300.0,16.927200317382812,17.04680061340332,16.807600021362305,16.927200317382812,16.76404571533203,15264.0,3.0799999237060547,3.0899999141693115,3.0,3.0,2.6025795936584473,48700.0,3.2081499099731445,3.2081499099731445,3.091140031814575,3.13988995552063,2.9523189067840576,717037.0,14.302900314331055,14.69540023803711,14.302900314331055,14.520999908447266,14.520999908447266,12291.0,23.969999313354492,23.969999313354492,23.25,23.309999465942383,22.55930519104004,1458400.0,26.149999618530273,26.739999771118164,26.1200008392334,26.399999618530273,25.642627716064453,13400.0,2.3516499996185303,2.3814098834991455,2.302030086517334,2.302030086517334,2.003504991531372,2377209.0
2015-06-30,7.460000038146973,7.46999979019165,7.360000133514404,7.369999885559082,7.369999885559082,828000.0,15.199999809265137,15.34000015258789,14.90999984741211,14.90999984741211,11.71946907043457,6319900.0,12.259200096130371,12.259200096130371,8.172820091247559,12.259200096130371,12.259200096130371,98.0,2.8499999046325684,2.859999895095825,2.75,2.75,2.0720109939575195,54800.0,43.63639831542969,45.172698974609375,43.49089813232422,43.86360168457031,37.147220611572266,585420.0,3.009999990463257,3.0299999713897705,2.9800000190734863,3.0,2.3524723052978516,21800.0,14.7076997756958,14.846199989318848,14.623100280761719,14.623100280761719,13.143671989440918,2634320.0,1.690000057220459,1.690000057220459,1.659999966621399,1.659999966621399,1.659999966621399,2400.0,11.380000114440918,11.399999618530273,11.020000457763672,11.1899995803833,9.484517097473145,77700.0,2.7214300632476807,2.8499999046325684,2.714279890060425,2.714279890060425,2.1451587677001953,22540.0,16.100000381469727,16.309999465942383,15.899999618530273,16.100000381469727,12.332870483398438,156400.0,16.927200317382812,17.166500091552734,16.867399215698242,16.867399215698242,16.70482063293457,23472.0,3.0799999237060547,3.0799999237060547,2.9700000286102295,2.9700000286102295,2.5765538215637207,566000.0,3.1496500968933105,3.2276599407196045,3.1008899211883545,3.1691501140594482,2.9798309803009033,975979.0,14.520999908447266,14.826199531555176,14.172100067138672,14.564599990844727,14.564599990844727,19859.0,23.0,23.65999984741211,22.899999618530273,23.65999984741211,22.89803123474121,1818600.0,26.350000381469727,26.959999084472656,26.350000381469727,26.899999618530273,26.128284454345703,29600.0,2.361569881439209,2.371490001678467,2.232569932937622,2.302030086517334,2.003504991531372,5954210.0
2015-07-01,7.429999828338623,7.489999771118164,7.110000133514404,7.119999885559082,7.119999885559082,893500.0,15.029999732971191,15.260000228881836,15.0,15.130000114440918,11.892393112182617,3900400.0,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,1425.0,2.759999990463257,2.799999952316284,2.700000047683716,2.700000047683716,2.0343382358551025,81200.0,43.954498291015625,45.5635986328125,43.37269973754883,45.30910110473633,38.37138366699219,381700.0,3.0199999809265137,3.0399999618530273,2.9700000286102295,3.0199999809265137,2.368155002593994,12100.0,14.738499641418457,15.076899528503418,14.715399742126465,14.984600067138672,13.468598365783691,1719900.0,1.659999966621399,1.659999966621399,1.5700000524520874,1.5700000524520874,1.5700000524520874,11500.0,11.34000015258789,11.34000015258789,10.949999809265137,11.0,9.32347583770752,152700.0,2.6642799377441406,2.6928598880767822,2.6142799854278564,2.6142799854278564,2.0661263465881348,7280.0,16.18000030517578,16.360000610351562,15.899999618530273,16.200000762939453,12.409472465515137,909000.0,16.98699951171875,17.106700897216797,16.867399215698242,16.867399215698242,16.70482063293457,13257.0,2.950000047683716,3.049999952316284,2.9100000858306885,2.9200000762939453,2.533177614212036,15600.0,3.15939998626709,3.2081499099731445,3.13988995552063,3.2081499099731445,3.016500949859619,500347.0,14.608200073242188,14.608200073242188,14.128499984741211,14.172100067138672,14.172100067138672,23964.0,23.549999237060547,23.829999923706055,23.260000228881836,23.579999923706055,22.820606231689453,1336200.0,26.739999771118164,27.299999237060547,26.65999984741211,26.799999237060547,26.031152725219727,67500.0,2.302030086517334,2.3317999839782715,2.232569932937622,2.252419948577881,1.960328459739685,2016516.0
2015-07-02,7.150000095367432,7.210000038146973,6.800000190734863,6.889999866485596,6.889999866485596,1464500.0,15.279999732971191,15.479999542236328,15.119999885559082,15.270000457763672,12.002433776855469,3040400.0,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,0.0,2.75,2.759999990463257,2.700000047683716,2.759999990463257,2.0795459747314453,28300.0,45.454498291015625,47.47269821166992,45.272701263427734,47.47269821166992,40.20369338989258,484440.0,3.0299999713897705,3.0299999713897705,2.950000047683716,3.0,2.3524723052978516,10400.0,14.96150016784668,15.16919994354248,14.96150016784668,15.053799629211426,13.53079891204834,1449240.0,1.5800000429153442,1.649999976158142,1.5,1.5,1.5,47200.0,11.140000343322754,11.140000343322754,10.569999694824219,10.619999885559082,9.001392364501953,195500.0,2.6714301109313965,2.6714301109313965,2.6714301109313965,2.6714301109313965,2.1112937927246094,7560.0,16.420000076293945,16.59000015258789,16.0,16.350000381469727,12.524375915527344,99100.0,17.04680061340332,17.04680061340332,16.867399215698242,16.98699951171875,16.823266983032227,16835.0,2.9200000762939453,2.9800000190734863,2.869999885559082,2.869999885559082,2.4898011684417725,684300.0,3.2081499099731445,3.39342999458313,3.1984000205993652,3.315419912338257,3.1173629760742188,2171008.0,14.215700149536133,14.215700149536133,13.561599731445312,13.692500114440918,13.692500114440918,26532.0,23.770000457763672,23.809999465942383,23.350000381469727,23.350000381469727,22.598012924194336,1444200.0,26.610000610351562,26.969999313354492,25.940000534057617,26.799999237060547,26.031152725219727,23800.0,2.252419948577881,2.3814098834991455,2.242500066757202,2.3814098834991455,2.0725913047790527,2737902.0
2015-07-03,6.800000190734863,6.940000057220459,6.659999847412109,6.690000057220459,6.690000057220459,769900.0,15.270000457763672,15.350000381469727,15.0,15.279999732971191,12.010293960571289,971600.0,12.259200096130371,12.259200096130371,8.172820091247559,12.259200096130371,12.259200096130371,357.0,2.7200000286102295,2.7799999713897705,2.7200000286102295,2.7699999809265137,2.087080240249634,13600.0,47.35449981689453,47.65449905395508,46.65449905395508,47.20000076293945,39.97275924682617,349030.0,3.0,3.0,2.880000114440918,2.9000000953674316,2.2740564346313477,37100.0,15.076899528503418,15.515399932861328,15.023099899291992,15.253800392150879,13.71056079864502,1671800.0,1.4900000095367432,1.5,1.4299999475479126,1.5,1.5,5500.0,10.670000076293945,10.899999618530273,10.25,10.5,8.899681091308594,60900.0,2.714279890060425,2.714279890060425,2.521430015563965,2.5285699367523193,1.9983880519866943,39480.0,16.350000381469727,16.799999237060547,16.350000381469727,16.799999237060547,12.869081497192383,82400.0,17.04680061340332,17.106700897216797,16.867399215698242,16.98699951171875,16.823266983032227,14194.0,2.8499999046325684,2.9000000953674316,2.809999942779541,2.809999942779541,2.4377496242523193,8500.0,3.3349199295043945,3.3641700744628906,3.247159957885742,3.247159957885742,3.0531809329986572,1201694.0,13.8233003616333,13.997699737548828,13.648799896240234,13.910499572753906,13.910499572753906,6787.0,23.299999237060547,23.450000762939453,23.100000381469727,23.25,22.501237869262695,509100.0,26.770000457763672,26.799999237060547,26.719999313354492,26.799999237060547,26.031152725219727,5300.0,2.3516499996185303,2.3913400173187256,2.252419948577881,2.252419948577881,1.960328459739685,2063278.0
2015-07-06,6.650000095367432,6.800000190734863,6.440000057220459,6.510000228881836,6.510000228881836,1426900.0,14.989999771118164,15.130000114440918,14.829999923706055,15.130000114440918,11.892393112182617,6065300.0,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,12.259200096130371,5161.0,2.7799999713897705,2.7899999618530273,2.7300000190734863,2.7799999713897705,2.0946147441864014,13700.0,47.26359939575195,47.26359939575195,46.21820068359375,46.63639831542969,39.49544906616211,440110.0,2.8499999046325684,2.940000057220459,2.799999952316284,2.890000104904175,2.2662148475646973,35600.0,15.276900291442871,15.307700157165527,15.16919994354248,15.238499641418457,13.696809768676758,2417610.0,1.4700000286102295,1.4900000095367432,1.4199999570846558,1.4900000095367432,1.4900000095367432,1600.0,10.470000267028809,10.479999542236328,9.949999809265137,9.949999809265137,8.433507919311523,65100.0,2.628570079803467,2.6357100009918213,2.571429967880249,2.571429967880249,2.0322611331939697,1680.0,16.75,16.989999771118164,16.700000762939453,16.700000762939453,12.79248046875,56700.0,17.04680061340332,17.04680061340332,16.807600021362305,16.867399215698242,16.70482063293457,122163.0,2.9000000953674316,3.049999952316284,2.819999933242798,2.819999933242798,2.446424722671509,711600.0,3.247159957885742,3.2569100856781006,3.15939998626709,3.237410068511963,3.044013261795044,3406648.0,13.866900444030762,14.041299819946289,13.12559986114502,13.12559986114502,13.12559986114502,36118.0,23.049999237060547,23.65999984741211,22.940000534057617,23.399999618530273,22.646400451660156,1189300.0,26.75,27.200000762939453,26.559999465942383,27.0,26.225414276123047,42000.0,2.232569932937622,2.2623400688171387,2.1928799152374268,2.2623400688171387,1.96896231174469,1615712.0
2015-07-07,6.5,6.550000190734863,6.079999923706055,6.230000019073486,6.230000019073486,1855500.0,15.069999694824219,15.220000267028809,14.859999656677246,15.1899995803833,11.93955135345459,3308100.0,12.259200096130371,12.259200096130371,8.172820091247559,12.259200096130371,12.259200096130371,587.0,2.7799999713897705,2.7899999618530273,2.700000047683716,2.700000047683716,2.0343382358551025,86700.0,46.62730026245117,47.390899658203125,46.38180160522461,46.47269821166992,39.35681915283203,297220.0,2.9200000762939453,2.940000057220459,2.869999885559082,2.9000000953674316,2.2740564346313477,16400.0,15.307700157165527,15.384599685668945,15.146200180053711,15.384599685668945,13.828128814697266,4772170.0,1.4500000476837158,1.4500000476837158,1.4199999570846558,1.4500000476837158,1.4500000476837158,5000.0,10.039999961853027,10.1899995803833,9.850000381469727,10.170000076293945,8.619978904724121,113600.0,2.5285699367523193,2.571429967880249,2.4428598880767822,2.571429967880249,2.0322611331939697,12880.0,16.889999389648438,16.899999618530273,16.09000015258789,16.200000762939453,12.409472465515137,159200.0,16.927200317382812,16.927200317382812,16.687999725341797,16.807600021362305,16.645597457885742,30461.0,3.009999990463257,3.009999990463257,2.869999885559082,2.869999885559082,2.4898011684417725,57400.0,3.217900037765503,3.217900037765503,3.03262996673584,3.081389904022217,2.8973135948181152,1759060.0,13.300000190734863,13.517999649047852,13.081999778747559,13.517999649047852,13.517999649047852,15800.0,23.280000686645508,23.5,23.010000228881836,23.40999984741211,22.656082153320312,2013200.0,26.729999542236328,26.90999984741211,26.559999465942383,26.780000686645508,26.011728286743164,12400.0,2.232569932937622,2.252419948577881,2.1631200313568115,2.252419948577881,1.960328459739685,3485895.0
